ano,ano_escolar,nome_escola_original,nome_escola_normalizado,arquivo_origem
2026,4,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF CHAPEU DO SOL,EMEF CHAPEU DO SOL,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF CHICO MENDES,EMEF CHICO MENDES,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF CHICO MENDES,EMEF CHICO MENDES,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2025,4,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2025,5,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2026,1,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2026,2,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2026,3,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
2026,4,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_04anos_LP.csv
2026,5,EMEF DECIO MARTINS COSTA,EMEF DECIO MARTINS COSTA,2026_1av_form_HABILIDADES_DESEMPENHO_TURMA_05anos_LP.csv
2025,1,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_01anos_LP.csv
2025,2,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_02anos_LP.csv
2025,3,EMEF DEP MARCIRIO GOULART LOUREIRO,EMEF DEP MARCIRIO GOULART LOUREIRO,2025_1av_form_HABILIDADES_DESEMPENHO_TURMA_03anos_LP.csv
